dataset,split_variant,model,training,checkpoint,eval_split,attack,n_seeds,mAP50,mAP50_std,mAP50-95,mAP50-95_std,precision,recall,selection_bias,source
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,combined_strong,3,0.7576,0.0087,0.4164,0.0018,0.8443,0.7258,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,random_fpn_medium,3,0.9503,0.0005,0.6628,0.0003,0.9309,0.8847,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,random_radiometric_medium,3,0.9495,0.0018,0.6624,0.0012,0.9386,0.8806,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,val,clean,1,0.6190,,0.3684,,0.7212,0.5793,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,val,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0003,0.0102,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,val,snua_go_weak,3,0.5693,0.0002,0.3329,0.0005,0.7281,0.4984,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,val,snua_go_medium,3,0.5172,0.0009,0.2916,0.0002,0.7051,0.4738,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,val,aria_medium,3,0.6103,0.0002,0.3625,0.0006,0.7141,0.5715,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,val,combined_medium,3,0.5091,0.0007,0.2835,0.0011,0.7511,0.4461,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,clean,1,0.9607,,0.6787,,0.9244,0.9023,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,clean,1,0.9739,,0.6525,,0.9129,0.9256,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0001,0.0202,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0003,0.0031,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,snua_go_weak,3,0.4902,0.0261,0.2290,0.0066,0.5821,0.5298,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,snua_go_weak,3,0.9543,0.0004,0.6046,0.0002,0.8981,0.8812,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,snua_go_medium,3,0.2451,0.0103,0.0963,0.0073,0.3661,0.3779,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,snua_go_medium,3,0.9256,0.0011,0.5477,0.0006,0.8639,0.8713,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,aria_medium,3,0.9583,0.0016,0.6707,0.0006,0.9143,0.9070,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,aria_medium,3,0.9705,0.0016,0.6454,0.0035,0.9081,0.9165,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,combined_medium,3,0.2404,0.0018,0.0921,0.0050,0.3747,0.3798,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,combined_medium,3,0.9193,0.0032,0.5376,0.0017,0.8701,0.8502,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,snua_go_strong,3,0.0934,0.0082,0.0307,0.0038,0.2238,0.1860,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,aria_strong,3,0.9482,0.0011,0.6477,0.0025,0.8892,0.8977,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,combined_strong,3,0.0809,0.0123,0.0266,0.0032,0.2139,0.1829,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,random_fpn_medium,3,0.9280,0.0026,0.6124,0.0059,0.8606,0.8616,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,random_radiometric_medium,3,0.9612,0.0018,0.6795,0.0028,0.8979,0.9299,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,snua_go_strong,3,0.8309,0.0034,0.4485,0.0027,0.7861,0.8003,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,aria_strong,3,0.9581,0.0037,0.6210,0.0067,0.9038,0.8834,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,combined_strong,3,0.7957,0.0031,0.4115,0.0017,0.7736,0.7628,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,random_fpn_medium,3,0.9732,0.0005,0.6530,0.0014,0.9053,0.9265,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,random_radiometric_medium,3,0.9740,0.0008,0.6531,0.0020,0.9057,0.9333,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,best,test,clean,1,0.8979,,0.6099,,0.8491,0.8110,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),small,standard,best,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0062,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,best,test,snua_go_weak,3,0.5048,0.0091,0.2512,0.0023,0.5987,0.5230,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,best,test,snua_go_medium,3,0.1757,0.0136,0.0735,0.0076,0.2425,0.3070,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,best,test,aria_medium,3,0.8925,0.0005,0.6029,0.0018,0.8532,0.8033,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,best,test,combined_medium,3,0.1856,0.0152,0.0765,0.0057,0.2376,0.3310,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,best,test,snua_go_strong,3,0.0228,0.0022,0.0069,0.0008,0.0898,0.1008,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,best,test,aria_strong,3,0.8773,0.0003,0.5794,0.0021,0.8426,0.7884,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,best,test,combined_strong,3,0.0205,0.0068,0.0050,0.0029,0.0813,0.0884,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,best,test,random_fpn_medium,3,0.8521,0.0086,0.5781,0.0075,0.8066,0.7846,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,best,test,random_radiometric_medium,3,0.8967,0.0004,0.6094,0.0022,0.8568,0.8047,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,best,val,clean,1,0.6980,,0.3674,,0.7686,0.6006,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),small,standard,last,test,clean,1,0.9398,,0.6883,,0.8792,0.9144,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),small,standard,last,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0001,0.0078,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,last,test,snua_go_weak,3,0.5387,0.0142,0.2233,0.0038,0.7059,0.5953,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,last,test,snua_go_medium,3,0.3018,0.0192,0.0955,0.0063,0.5354,0.4161,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,last,test,aria_medium,3,0.9347,0.0025,0.6756,0.0023,0.8787,0.9058,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,last,test,combined_medium,3,0.2986,0.0098,0.0944,0.0061,0.5102,0.4326,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,last,test,snua_go_strong,3,0.1364,0.0076,0.0326,0.0018,0.4340,0.2155,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,last,test,aria_strong,3,0.9169,0.0009,0.6413,0.0017,0.8670,0.8586,,all_evals_results.csv
